,sequence,probability,state
0,Ti/DC,2.19632e-06,ok
1,Ti/DC/STBO,2.04368e-06,n
2,Ti,0.0799349632224,ok
3,Ti/BO/U,1.3541874242624002e-07,ok
4,Ti/BO/U/STBO,1.2600740125376e-07,n
5,Ti/BO,5.859822020971776e-05,ok
6,Ti/BO/B6/X/V1,8.135951235729408e-10,ok
7,Ti/BO/B6/X/V1/RV/OE/RB,7.485075136871057e-11,n
8,Ti/BO/B6/X/V1/RV/OE,2.9940300547484227e-10,n
9,Ti/BO/B6/X/V1/RV,2.811784747068084e-10,n
10,Ti/BO/B6/X/V1/RV/NC/LM/RB,1.5816289202257974e-11,n
11,Ti/BO/B6/X/V1/RV/NC/LM,6.32651568090319e-11,n
12,Ti/BO/B6/X/V1/RV/NC/RB,1.5658126310235392e-11,n
13,Ti/BO/B6/X/V1/RV/NC,6.263250524094157e-11,n
14,Ti/BO/B6/X/V1/RV/NC/V2,0.0,n
15,Ti/BO/B6/X/V1/RV/NC/V2/OL,6.32651568090319e-13,n
16,Ti/BO/B6/X/V1/RV/NC/V2/OL/RB,1.5816289202257974e-13,n
17,Ti/BO/B6/X/RV/NC,0.0,n
18,Ti/BO/B6/X/RV/NC/RB,0.0,n
19,Ti/BO/B6/X/RV/NC/LM,0.0,n
20,Ti/BO/B6/X/RV/NC/LM/RB,0.0,n
21,Ti/BO/B6/X/RV,0.0,n
22,Ti/BO/B6/X,0.0,n
23,Ti/BO/B6,8.127815284493677e-08,n
24,Ti/BO/B6/RV,5.201801782075953e-08,n
25,Ti/BO/B6/RV/NC,1.1704054009670895e-08,n
26,Ti/BO/B6/RV/NC/RB,2.926013502417724e-09,n
27,Ti/BO/B6/RV/NC/LM,1.1704054009670895e-08,n
28,Ti/BO/B6/RV/NC/LM/RB,2.926013502417724e-09,n
29,Ti/BO/B6/V1,7.315033756044311e-07,n
30,Ti/BO/B6/V1/RV,4.6816216038683596e-07,n
31,Ti/BO/B6/V1/RV/NC,1.0428312122616771e-07,n
32,Ti/BO/B6/V1/RV/NC/RB,2.6070780306541927e-08,n
33,Ti/BO/B6/V1/RV/NC/V2/OL,1.0533648608703806e-09,n
34,Ti/BO/B6/V1/RV/NC/V2/OL/RB,2.6334121521759516e-10,n
35,Ti/BO/B6/V1/RV/NC/V2,0.0,n
36,Ti/BO/B6/V1/RV/NC/LM/RB,2.633412152175952e-08,n
37,Ti/BO/B6/V1/RV/NC/LM,1.0533648608703808e-07,n
38,Ti/BO/B6/BC/V1/NC/BD/V2,0.0,n
39,Ti/BO/B6/BC/V1/NC/BD/V2/OL,0.0,n
40,Ti/BO/B6/BC/V1/NC/BD/V2/OL/RB,0.0,n
41,Ti/BO/B6/BC/V1/NC/BD/RB,0.0,n
42,Ti/BO/B6/BC/V1/NC/BD,0.0,n
43,Ti/BO/B6/BC/V1/NC/V2/OL/RB,0.0,n
44,Ti/BO/B6/BC/V1/NC/V2/OL,0.0,n
45,Ti/BO/B6/BC/V1/NC/V2,0.0,n
46,Ti/BO/B6/BC/V1/NC/RB,0.0,n
47,Ti/BO/B6/BC/V1/NC,0.0,n
48,Ti/BO/B6/BC/V1/NC/LM,0.0,n
49,Ti/BO/B6/BC/V1/NC/LM/RB,0.0,n
50,Ti/BO/B6/BC/V1,0.0,n
51,Ti/BO/B6/BC/NC,0.0,n
52,Ti/BO/B6/BC/NC/RB,0.0,n
53,Ti/BO/B6/BC/NC/BD,0.0,n
54,Ti/BO/B6/BC/NC/BD/RB,0.0,n
55,Ti/BO/B6/BC/NC/LM/RB,0.0,n
56,Ti/BO/B6/BC/NC/LM,0.0,n
57,Ti/BO/B6/BC,0.0,n
58,Ti/BO/B6/BC/SF/LM/RB,0.0,n
59,Ti/BO/B6/BC/SF/LM,0.0,n
60,Ti/BO/B6/BC/SF/BD,0.0,n
61,Ti/BO/B6/BC/SF/BD/RB,0.0,n
62,Ti/BO/B6/BC/SF,0.0,n
63,Ti/BO/B6/BC/SF/RB,0.0,n
64,Ti/BO/B6/BC/SF/V1/LM,0.0,n
65,Ti/BO/B6/BC/SF/V1/LM/RB,0.0,n
66,Ti/BO/B6/BC/SF/V1/V2,0.0,n
67,Ti/BO/B6/BC/SF/V1/V2/OL,0.0,n
68,Ti/BO/B6/BC/SF/V1/V2/OL/RB,0.0,n
69,Ti/BO/B6/BC/SF/V1,0.0,n
70,Ti/BO/B6/BC/SF/V1/RB,0.0,n
71,Ti/BO/B6/BC/SF/V1/BD/V2,0.0,n
72,Ti/BO/B6/BC/SF/V1/BD/V2/OL,0.0,n
73,Ti/BO/B6/BC/SF/V1/BD/V2/OL/RB,0.0,n
74,Ti/BO/B6/BC/SF/V1/BD/RB,0.0,n
75,Ti/BO/B6/BC/SF/V1/BD,0.0,n
76,Ti/BO/B6/BC/X/SF/LM,0.0,n
77,Ti/BO/B6/BC/X/SF/LM/RB,0.0,n
78,Ti/BO/B6/BC/X/SF,0.0,n
79,Ti/BO/B6/BC/X/SF/RB,0.0,n
80,Ti/BO/B6/BC/X/SF/BD/RB,0.0,n
81,Ti/BO/B6/BC/X/SF/BD,0.0,n
82,Ti/BO/B6/BC/X/SF/V1/OE/RB,2.8514571949984978e-08,n
83,Ti/BO/B6/BC/X/SF/V1/OE,1.1405828779993991e-07,n
84,Ti/BO/B6/BC/X/SF/V1/RB,3.810972541115493e-09,n
85,Ti/BO/B6/BC/X/SF/V1,1.524389016446197e-08,n
86,Ti/BO/B6/BC/X/SF/V1/V2/OL/RB,3.8494672132479725e-11,n
87,Ti/BO/B6/BC/X/SF/V1/V2/OL,1.539786885299189e-10,n
88,Ti/BO/B6/BC/X/SF/V1/V2,0.0,n
89,Ti/BO/B6/BC/X/SF/V1/BD/V2,0.0,n
90,Ti/BO/B6/BC/X/SF/V1/BD/V2/OL/RB,1.1598612081655848e-08,n
91,Ti/BO/B6/BC/X/SF/V1/BD/V2/OL,4.639444832662339e-08,n
92,Ti/BO/B6/BC/X/SF/V1/BD,5.154938702958153e-09,n
93,Ti/BO/B6/BC/X/SF/V1/BD/RB,1.2887346757395383e-09,n
94,Ti/BO/B6/BC/X/SF/V1/LM/RB,1.6736813970643357e-08,n
95,Ti/BO/B6/BC/X/SF/V1/LM,6.694725588257343e-08,n
96,Ti/BO/B6/BC/X/V1,0.0,n
97,Ti/BO/B6/BC/X/V1/NC/RB,0.0,n
98,Ti/BO/B6/BC/X/V1/NC,0.0,n
99,Ti/BO/B6/BC/X/V1/NC/V2,0.0,n
100,Ti/BO/B6/BC/X/V1/NC/V2/OL,0.0,n
101,Ti/BO/B6/BC/X/V1/NC/V2/OL/RB,0.0,n
102,Ti/BO/B6/BC/X/V1/NC/BD,0.0,n
103,Ti/BO/B6/BC/X/V1/NC/BD/RB,0.0,n
104,Ti/BO/B6/BC/X/V1/NC/BD/V2,0.0,n
105,Ti/BO/B6/BC/X/V1/NC/BD/V2/OL/RB,0.0,n
106,Ti/BO/B6/BC/X/V1/NC/BD/V2/OL,0.0,n
107,Ti/BO/B6/BC/X/V1/NC/LM,0.0,n
108,Ti/BO/B6/BC/X/V1/NC/LM/RB,0.0,n
109,Ti/BO/B6/BC/X/V1/OE/RB,0.0,n
110,Ti/BO/B6/BC/X/V1/OE,0.0,n
111,Ti/BO/B6/BC/X/NC/LM,0.0,n
112,Ti/BO/B6/BC/X/NC/LM/RB,0.0,n
113,Ti/BO/B6/BC/X/NC/RB,0.0,n
114,Ti/BO/B6/BC/X/NC,0.0,n
115,Ti/BO/B6/BC/X/NC/BD/RB,0.0,n
116,Ti/BO/B6/BC/X/NC/BD,0.0,n
117,Ti/BO/B6/BC/X,0.0,n
